Title,Company,Location,Link,Keyword,City
Einkäufer IT  mit fachlichem IT Background,Rohde & Schwarz,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/eink%C3%A4ufer-it-m-w-d-mit-fachlichem-it-background-at-rohde-schwarz-4265096152?position=20&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=8yDL18jUh2NTIhezYV3MRw%3D%3D,Systemadministrator,Leipzig
SAP Logistik Anwendungsbetreuer,GISA GmbH,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/sap-logistik-anwendungsbetreuer-m-w-d-at-gisa-gmbh-4269098053?position=21&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=hr8atEXTLBckcr%2FtYZGzww%3D%3D,Systemadministrator,Leipzig
Lead System Engineer - System-Management-Infrastruktur UNIX-Umfeld Netcool,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/lead-system-engineer-system-management-infrastruktur-unix-umfeld-netcool-m-w-d-at-tietalent-4270426080?position=22&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=OzeGOI6eRY6BWeeQYuYplg%3D%3D,Systemadministrator,Leipzig
2nd Level Application Supporter  OS Linux,European Commodity Clearing AG,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/2nd-level-application-supporter-f-m-d-os-linux-devops-at-european-commodity-clearing-ag-4255705066?position=23&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=RKtBlwYGGwPljq3qGoJpmw%3D%3D,Systemadministrator,Leipzig
Consultant IT-Servicemanagement IAM,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/consultant-it-servicemanagement-iam-all-genders-at-adesso-se-4086200530?position=25&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=vMCBn%2F%2BvGTp%2BM8Pt6iudAg%3D%3D,Systemadministrator,Leipzig
IT-Consultant Customer Portals - Manufacturing Industry,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-consultant-customer-portals-manufacturing-industry-all-genders-at-adesso-se-4134419477?position=26&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=VG%2BoXT5rsEKPH1iV7X9oZg%3D%3D,Systemadministrator,Leipzig
IT-Architekt ERP und Cloud Lösungen,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-architekt-erp-und-cloud-l%C3%B6sungen-m-w-d-at-tietalent-4270426066?position=27&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=r8%2Foa75Ngd0glBHYAg6uew%3D%3D,Systemadministrator,Leipzig
IT-Architekt-in,Federal State of Saxony,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-architekt-in-m-w-d-x-at-federal-state-of-saxony-4268410545?position=28&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=X6xKaqdNr5Dl2iXO0S3GGQ%3D%3D,Systemadministrator,Leipzig
IT-Sicherheitsmanager  Feuerwehr  Katastrophenschutz,Dataport AöR,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/it-sicherheitsmanager-%E2%80%93-feuerwehr-katastrophenschutz-w-m-d-at-dataport-a%C3%B6r-4267200556?position=29&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=NKL%2BxF%2Fn2CQuWrlbcOr%2B9g%3D%3D,Systemadministrator,Leipzig
IT Business Process Specialist,Kuehne+Nagel,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-business-process-specialist-m-w-d-at-kuehne%2Bnagel-4258527569?position=30&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=q0ppAEI78f4cc7fDZOxIzA%3D%3D,Systemadministrator,Leipzig
