Title,Company,Location,Link,Keyword,City
Senior Test Automation Engineer - Software Quality Assurance for transportation sector,CGI,"Eschborn, Hesse, Germany",https://de.linkedin.com/jobs/view/senior-test-automation-engineer-software-quality-assurance-for-transportation-sector-m-f-d-at-cgi-4215140688?position=12&pageNum=0&refId=GedYhefDGt0lmHofWH3X8A%3D%3D&trackingId=xDKzQ3FLj1Chuvq9kGfSZg%3D%3D,Software Tester,Frankfurt
Software Unit Verification Tester  Automotive Embedded Software,Cognizant Mobility,"Rüsselsheim, Hesse, Germany",https://de.linkedin.com/jobs/view/senior-software-unit-verification-tester-gn-automotive-embedded-software-at-cognizant-mobility-4175594120?position=13&pageNum=0&refId=GedYhefDGt0lmHofWH3X8A%3D%3D&trackingId=K28jO%2B3FjHr67nhh7VfBdg%3D%3D,Software Tester,Frankfurt
Software Tester,MAM Gruppe,Greater Dusseldorf Area,https://de.linkedin.com/jobs/view/software-tester-at-mam-gruppe-4215840745?position=1&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=llS9IIPsXkXWwUSG9EJSvw%3D%3D,Software Test Analyst,Essen
Software Developer  Test Automation Engineer,Keysight Technologies,"Bochum, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/software-developer-test-automation-engineer-at-keysight-technologies-4267460677?position=2&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=zzT6WULm7yzRjHpuX4uV4A%3D%3D,Software Test Analyst,Essen
Softwaretester,opta data,"Essen, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/softwaretester-w-m-x-at-opta-data-4263715392?position=3&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=e6wDQVcDCumAqvhqqdbpBA%3D%3D,Software Test Analyst,Essen
Software-Testerin   Fokus Testautomatisierung,ITS Informationstechnik Service GmbH,"Dortmund, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/software-tester-in-m-w-d-%E2%80%93-fokus-testautomatisierung-at-its-informationstechnik-service-gmbh-4256901952?position=4&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=vfZLyxjzJZwMvQ4dvfqbgw%3D%3D,Software Test Analyst,Essen
Software Test Engineer   Renewable Energy Automation,Optimus Search,"North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/software-test-engineer-m-f-d-%E2%80%93-renewable-energy-automation-at-optimus-search-4259843129?position=5&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=LgmB8xZd%2BdMIrgssQ92YsQ%3D%3D,Software Test Analyst,Essen
Software Test Engineer,Vanderlande,"Dortmund, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/software-test-engineer-m-w-d-at-vanderlande-4241211059?position=6&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=geHQ%2BpOUZyI%2F%2BUjnWqzQ2Q%3D%3D,Software Test Analyst,Essen
Software-Tester-in  QS Spezialist-in,adesso insurance solutions GmbH,"Essen, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/software-tester-in-qs-spezialist-in-all-genders-at-adesso-insurance-solutions-gmbh-4248905922?position=7&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=FmNiTNwoiF43SNm8AkAMKw%3D%3D,Software Test Analyst,Essen
Softwaretester,GFOS mbH,"Essen, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/softwaretester-m-w-d-at-gfos-mbh-4207619045?position=8&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=8HLfWcBMOkIY%2BqaK4VGEFQ%3D%3D,Software Test Analyst,Essen
Senior Executive Software Tester,CGI,"Düsseldorf, North Rhine-Westphalia, Germany",https://de.linkedin.com/jobs/view/senior-executive-software-tester-m-w-d-at-cgi-4183119651?position=10&pageNum=0&refId=ABqSNHc6NHJIp10qvHzQNA%3D%3D&trackingId=eaubpqy3npiv5mLiU9YhwA%3D%3D,Software Test Analyst,Essen
